Doorway,Reviewer,Date,Event Time,Ins,Outs,Passby_near,Passby_far,Linger,Multi(IN),Multi(OUT),Multi(Passby),Comments
Doorway W1,Eric,14-Mar,5:05:32 PM,,1,,,,,,,Kacie stood breifly under waldo and walked OUT
Doorway W1,Eric ,14-Mar,5:05:58 PM,1,,,,,,,,Kacie begins to take the camera down
Doorway W1,Eric,24-Mar,2:06:24 PM,,1,,,,,,,
Doorway W1,Eric ,24-Mar,2:06:42 PM,1,,,,,,,,
Doorway W1,Eric,24-Mar,2:07:21 PM,,1,,,,,,,
Doorway W1,Eric ,24-Mar,2:07:38 PM,1,,,,,,,,
Doorway W1,Eric,24-Mar,2:17:44 PM,,1,,,,,,,
Doorway W1,Eric ,24-Mar,2:24:39 PM,1,,,,,,,,
Doorway W1,Eric,24-Mar,2:29:10 PM,,1,,,,,,,
Doorway W1,Eric ,24-Mar,2:49:27 PM,,1,,,,,,,
Doorway W1,Eric,24-Mar,2:51:30 PM,1,,,,,,,,
Doorway W1,Eric ,24-Mar,3:57:36 PM,,1,,,,,,,
Doorway W1,Eric,24-Mar,4:42:53 PM,,1,,,1,,,,Man stands under waldo and goes on his phone for 9 sec and then moves OUT
Doorway W1,Eric ,24-Mar,5:25:06 PM,1,,,,,,,,
Doorway W1,Eric,24-Mar,5:41:19 PM,,1,,,,,,,
Doorway W1,Eric ,24-Mar,5:42:48 PM,1,,,,,,,,
Doorway W1,Eric,24-Mar,5:51:27 PM,,1,,,,,,,
Doorway W1,Eric ,24-Mar,6:00:47 PM,,,,,,1,,,
Doorway W1,Eric,24-Mar,6:12:07 PM,,,,,,1,,,
Doorway W1,Eric ,24-Mar,6:15:34 PM,1,,,,,,,,
Doorway W1,Eric,24-Mar,6:16:16 PM,1,,,,,,,,
Doorway W1,Eric ,24-Mar,6:21:42 PM,,,,,,1,,,
Doorway W1,Eric,24-Mar,6:29:55 PM,1,,,,,,,,
Doorway W1,Eric ,24-Mar,6:50:25 PM,,1,,,,,,,
Doorway W1,Eric,24-Mar,6:50:36 PM,1,,,,,,,,
Doorway W1,Eric ,24-Mar,6:55:20 PM,,1,,,,,,,
Doorway W1,Eric,24-Mar,6:56:36 PM,,1,,,,1,,,Multiple people walk IN while one person walks OUT
Doorway W1,Eric ,24-Mar,6:56:48 PM,,,,,,1,,,
Doorway W1,Eric,24-Mar,6:56:51 PM,1,,,,,,,,
Doorway W1,Eric ,24-Mar,6:56:54 PM,,,,,,1,,,
Doorway W1,Eric,24-Mar,6:56:58 PM,,,,,,1,,,
Doorway W1,Eric ,24-Mar,6:57:24 PM,1,,,,,,,,
