LabelType,Recover#,TimeDiff,BSidx,BSrecord#,DateTime,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,DateTime,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
CONFIRMED,2,3.0,16,364,1900-03-19 12:35:18,1,Valid,5,0,2,3,107,1900-03-19 12:35:15,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,108,1900-03-19 12:36:24,0,0,0,1,0,0,0,0
FPpkt,1,,17,365,1900-03-19 12:37:55,2,Valid,5,0,2,3,,,,,,,,,,
Null,0,,,,,,,,,,,109,1900-03-19 12:39:03,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,110,1900-03-19 13:26:05,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,111,1900-03-19 13:34:09,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,112,1900-03-19 13:34:38,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,113,1900-03-19 14:06:36,0,0,0,0,1 (40 seconds),0,0,0
Null,0,,,,,,,,,,,114,1900-03-19 14:07:15,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,115,1900-03-19 14:07:31,0,0,0,0,1,0,0,0
Null,0,,,,,,,,,,,116,1900-03-19 14:07:36,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,117,1900-03-19 14:08:41,1,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,118,1900-03-19 14:08:46,0,0,0,0,1 (7 seconds),0,0,0
CONFIRMED,3,3.0,20,368,1900-03-19 14:08:55,5,Valid,5,0,3,2,119,1900-03-19 14:08:52,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,120,1900-03-19 14:22:19,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,121,1900-03-19 14:22:24,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,122,1900-03-19 14:22:46,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,123,1900-03-19 14:34:58,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,124,1900-03-19 14:37:15,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,125,1900-03-19 14:42:10,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,126,1900-03-19 14:44:40,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,127,1900-03-19 14:58:09,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,128,1900-03-19 15:23:43,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,129,1900-03-19 15:53:23,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,130,1900-03-19 15:56:34,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,131,1900-03-19 15:56:55,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,132,1900-03-19 16:00:33,1,0,0,0,0,0,0,0
FPpkt,3,,21,415,1900-03-19 16:00:57,9,Valid,5,2,1,2,,,,,,,,,,
Null,0,,,,,,,,,,,133,1900-03-19 16:06:46,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,134,1900-03-19 16:09:19,0,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,135,1900-03-19 16:09:23,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,136,1900-03-19 16:52:55,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,137,1900-03-19 16:54:52,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,138,1900-03-19 16:55:16,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,139,1900-03-19 16:55:31,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,140,1900-03-19 17:10:32,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,141,1900-03-19 18:00:03,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,142,1900-03-19 18:00:28,0,0,0,1,0,0,0,0
FPpkt,3,,24,448,1900-03-19 18:01:13,16,Valid,5,1,1,3,,,,,,,,,,
Null,0,,,,,,,,,,,143,1900-03-19 18:03:49,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,144,1900-03-19 18:05:12,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,145,1900-03-19 18:26:54,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,146,1900-03-19 18:27:10,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,147,1900-03-19 20:24:55,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,148,1900-03-19 22:11:33,0,0,0,0,0,1,0,0
Null,0,,,,,,,,,,,149,1900-03-19 22:16:25,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,150,1900-03-19 22:30:03,0,0,0,0,1 (entire video),0,0,0
Null,0,,,,,,,,,,,151,1900-03-19 22:30:18,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,152,1900-03-19 22:31:03,0,0,0,0,1 (entire video),0,0,0
