LabelType,TimeDiff,BSidx,BSrecord#,Date,Time,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,Date,Time,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
Null,,,,,,,,,,,,191,14-Mar,10:30:40 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,192,14-Mar,10:30:49 AM,0,0,0,0,0,0,0,1
Null,,,,,,,,,,,,193,14-Mar,10:30:57 AM,0,0,0,1,0,0,0,0
CONFIRMED,1.0,14,21,14-Mar,10:31:00 AM,2,Valid,5,3,1,1,194,14-Mar,10:31:01 AM,0,0,0,0,0,0,0,1
Null,,,,,,,,,,,,195,14-Mar,10:31:08 AM,0,0,0,0,0,0,0,1
Null,,,,,,,,,,,,196,14-Mar,10:31:24 AM,0,0,0,0,0,0,0,1
Null,,,,,,,,,,,,197,14-Mar,10:31:44 AM,0,0,0,1,0,0,0,0
CONFIRMED,2.0,15,24,14-Mar,10:31:48 AM,0,Valid,5,2,0,3,198,14-Mar,10:31:50 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,199,14-Mar,10:31:55 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,200,14-Mar,10:32:03 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,201,14-Mar,10:32:11 AM,0,1,0,0,0,0,0,0
CONFIRMED,0.0,16,25,14-Mar,10:34:30 AM,0,Valid,5,1,2,2,202,14-Mar,10:34:30 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,203,14-Mar,10:34:40 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,204,14-Mar,10:35:05 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,205,14-Mar,10:43:32 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,206,14-Mar,10:43:39 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,207,14-Mar,10:43:45 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,208,14-Mar,10:48:12 AM,0,0,0,1,0,0,0,0
CONFIRMED,1.0,19,31,14-Mar,10:49:11 AM,3,Valid,5,2,0,3,209,14-Mar,10:49:10 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,210,14-Mar,10:49:54 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,211,14-Mar,10:50:44 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,212,14-Mar,10:50:52 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,213,14-Mar,10:51:32 AM,0,0,0,1,0,0,0,0
CONFIRMED,1.0,20,37,14-Mar,10:51:44 AM,0,Valid,5,1,1,3,214,14-Mar,10:51:43 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,215,14-Mar,10:51:58 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,216,14-Mar,10:53:46 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,217,14-Mar,10:53:55 AM,0,0,0,1,0,0,0,0
CONFIRMED,1.0,22,43,14-Mar,10:54:46 AM,2,Valid,5,0,4,1,218,14-Mar,10:54:47 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,219,14-Mar,10:55:16 AM,0,0,1,0,0,0,0,0
Null,,,,,,,,,,,,220,14-Mar,10:58:24 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,221,14-Mar,10:58:33 AM,0,0,0,1,0,0,0,0
CONFIRMED,0.0,24,52,14-Mar,10:58:36 AM,4,Valid,5,1,2,2,222,14-Mar,10:58:36 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,223,14-Mar,10:59:34 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,224,14-Mar,11:00:53 AM,0,1,0,0,0,0,0,0
