Doorway,Reviewer,Date,Event Time,Ins,Outs,Passby_near,Passby_far,Linger,Multi(IN),Multi(OUT),Multi(Passby),Comments,,,,,,,,,,,,,,
,,3/14,10:11:12 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:11:49 AM,,,,,1 (90 seconds),,,,,,,,,,,,,,,,,,
,,3/14,10:13:23 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:13:30 AM,,,,,1 (60 seconds),,,,,,,,,,,,,,,,,,
,,3/14,10:14:42 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:15:02 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:15:15 AM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,10:15:57 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:16:02 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:16:07 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:17:07 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:17:12 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:18:13 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:19:09 AM,,,,,1 (60 seconds),,,,,,,,,,,,,,,,,,
,,3/14,10:23:15 AM,,,,,,,1,,,,,,,,,,,,,,,,
,,3/14,10:23:22 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:23:26 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:23:21 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:23:56 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:24:10 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:24:25 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:25:08 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:25:38 AM,,,,,1 (30 seconds),,,,someone working at table in the corner,,,,,,,,,,,,,,
,,3/14,10:26:16 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:26:24 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:26:35 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:26:53 AM,,,1,,,,,,,,,,,,,,,,,,,,
,,3/14,10:27:23 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:27:28 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:28:15 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:28:37 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:30:30 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:30:40 AM,,,,1,,,,,,,,,,,,,,,,,,,
