Doorway,Reviewer,Date,Event Time,Ins,Outs,Passby_near,Passby_far,Linger,Multi(IN),Multi(OUT),Multi(Passby),Comments
W0,Kacie,14-Mar,12:01:04 PM,1,,,,,,,,Nicole walked in and started to take parts of WALDO down
W0,Kacie,14-Mar,12:01:20 PM,,,,,,,,1,
W0,Kacie,14-Mar,12:01:26 PM,,,,,,,,1,
W0,Kacie,14-Mar,12:01:56 PM,,,1,,,,,,
W0,Kacie,14-Mar,12:02:05 PM,,1,,,,,,,
W0,Kacie,14-Mar,12:04:40 PM,1,,,,,,,,
W0,Kacie,14-Mar,12:04:48 PM,1,,,,,,,,there was a passby at the same time as the in
W0,Kacie,14-Mar,12:04:53 PM,,,,,1,,,,nicole standing at table in the corner
W0,Kacie,14-Mar,12:06:57 PM,1,,,,,,,,
W0,Kacie,14-Mar,12:07:37 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:07:41 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:07:50 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:11:35 PM,,,,,1,,,,nicole standing in the door messing with waldo
W0,Kacie,14-Mar,12:11:50 PM,1,,,,,,,,
W0,Kacie,14-Mar,12:13:33 PM,,,,,1,,,,"nicole working on waldo, there was a passby far during this"
W0,Kacie,14-Mar,12:14:38 PM,1,,,,,,,,
W0,Kacie,14-Mar,12:14:46 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:15:32 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:16:24 PM,,1,,,,,,,
W0,Kacie,14-Mar,12:16:34 PM,,1,,,,,,,
W0,Kacie,14-Mar,12:16:48 PM,1,,,,,,,,
W0,Kacie,14-Mar,12:17:07 PM,,1,,,,,,,
W0,Kacie,14-Mar,12:17:39 PM,1,,,,,,,,
W0,Kacie,14-Mar,12:17:49 PM,,,,1,,,,,foot also in the camera on the in side of door
W0,Kacie,14-Mar,12:17:53 PM,,,1,,,,,,walked in doorway and then turned around 
W0,Kacie,14-Mar,12:20:37 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:20:41 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:21:04 PM,,,,,,,,,nicole rolling in chair at the table in the corner
W0,Kacie,14-Mar,12:22:23 PM,,,,1,,,,,passed by to sit in chair then sat in view of camera
W0,Kacie,14-Mar,12:22:37 PM,,,,,,,,,nicole sitting in chair near doorway working on something at the bale
W0,Kacie,14-Mar,12:23:21 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:23:34 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:23:55 PM,,,,1,,,,,nicole gets back into chair and sits in view of the camera
W0,Kacie,14-Mar,12:24:05 PM,,,,1,,,,,
W0,Kacie,14-Mar,12:24:54 PM,1,,,,,,,,
W0,Kacie,14-Mar,12:25:05 PM,,,1,,,,,,nicole rolls chair farther into view of camera
W0,Kacie,14-Mar,12:27:54 PM,,,1,,,,,,
W0,Kacie,14-Mar,12:28:00 PM,1,,,,,,,,
W0,Kacie,14-Mar,12:28:27 PM,,,,1,,,,,"Nicole sitting in chair in the corner through most of these videos, not sure if that affects what waldo sees"
W0,Kacie,14-Mar,12:29:52 PM,,1,,,,,,,
