LabelType,Recover#,TimeDiff,BSidx,BSrecord#,DateTime,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,DateTime,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
Null,0,,,,,,,,,,,160,1900-03-18 07:22:58,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,161,1900-03-19 13:35:18,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,162,1900-03-19 13:35:28,0,1,0,0,0,0,0,0
FPpkt,3,,41,524,1900-03-19 22:18:49,28,Valid,5,0,0,5,,,,,,,,,,
Null,0,,,,,,,,,,,163,1900-03-19 22:23:12,0,0,0,0,1,0,0,0
FPpkt,1,,44,528,1900-03-19 22:25:50,31,Valid,5,0,3,2,,,,,,,,,,
Null,0,,,,,,,,,,,164,1900-03-19 22:38:12,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,165,1900-03-19 22:38:22,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,166,1900-03-19 22:38:43,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,167,1900-03-19 22:38:55,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,168,1900-03-19 22:39:15,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,169,1900-03-19 22:39:26,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,170,1900-03-19 22:39:48,1,0,0,0,0,0,0,0
CONFIRMED,2,-3.0,46,535,1900-03-19 22:39:56,1,Valid,5,3,2,0,171,1900-03-19 22:39:59,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,172,1900-03-20 07:41:17,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,173,1900-03-20 07:41:37,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,174,1900-03-20 11:57:17,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,175,1900-03-21 07:46:44,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,176,1900-03-21 07:46:57,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,177,1900-03-21 07:47:35,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,178,1900-03-21 07:47:52,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,179,1900-03-21 07:48:16,1,0,0,0,0,0,0,0
