12/8/22 6:52:00,GT,,Waldo,EnOcean,if match,if not match,if match,if not match,,,,,ins ,in  correct,in incorrect,,outs,out correct,out incorrect
12/12/22 15:21:48,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 15:23:33,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/12/22 15:25:51,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 15:26:48,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/12/22 15:28:29,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 15:35:51,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 15:46:37,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 15:52:37,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 16:05:25,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 16:07:59,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 16:09:07,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/12/22 16:10:08,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 16:15:26,out,"person goes out, but then pauses by the trash before continuing his exit out, about 5 seconds",out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 16:16:39,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 16:22:14,out,,out,,,,OUT,,,miss,,,,,,,,,
12/12/22 16:22:21,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 16:54:34,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 17:25:21,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 17:25:27,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 17:26:21,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 17:28:46,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 17:29:17,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 18:19:51,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/12/22 18:50:02,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 18:53:44,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 21:46:11,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/12/22 22:00:17,in,,in,hit,IN,,,,,hit,,,,,,,,,
