LabelType,Recover#,TimeDiff,BSidx,BSrecord#,DateTime,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,DateTime,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
Null,0,,,,,,,,,,,132,1900-03-14 13:17:42,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,133,1900-03-14 13:20:25,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,134,1900-03-14 13:23:52,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,135,1900-03-14 13:26:58,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,136,1900-03-14 13:31:47,0,0,0,0,0,1,0,0
Null,0,,,,,,,,,,,137,1900-03-14 13:33:31,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,138,1900-03-14 13:41:36,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,139,1900-03-14 12:41:50,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,140,1900-03-14 13:42:08,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,141,1900-03-14 13:44:26,1,0,0,0,0,0,0,0
CONFIRMED,3,5.0,25,96,1900-03-14 13:46:30,65,Valid,5,2,2,1,142,1900-03-14 13:46:25,0,0,0,0,0,1,0,0
Null,0,,,,,,,,,,,143,1900-03-14 13:49:36,0,0,0,0,0,1,0,0
Null,0,,,,,,,,,,,144,1900-03-14 13:50:30,0,1,0,0,0,1,0,0
Null,0,,,,,,,,,,,145,1900-03-14 13:51:26,0,0,0,0,0,1,0,0
Null,0,,,,,,,,,,,146,1900-03-14 14:00:20,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,147,1900-03-14 14:04:00,1,0,0,0,0,0,1,0
Null,0,,,,,,,,,,,148,1900-03-14 14:05:21,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,149,1900-03-14 14:10:16,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,150,1900-03-14 14:12:41,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,151,1900-03-14 14:14:26,0,1,0,0,0,0,0,0
CONFIRMED,3,1.0,28,103,1900-03-14 14:16:33,68,Valid,5,3,2,0,152,1900-03-14 14:16:32,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,153,1900-03-14 14:20:29,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,154,1900-03-14 14:41:55,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,155,1900-03-14 14:44:06,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,156,1900-03-14 14:50:44,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,157,1900-03-14 14:51:31,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,158,1900-03-14 14:53:13,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,159,1900-03-14 14:57:23,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,160,1900-03-14 14:57:34,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,161,1900-03-14 14:57:38,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,162,1900-03-14 15:00:59,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,163,1900-03-14 15:03:11,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,164,1900-03-14 15:05:18,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,165,1900-03-14 15:06:08,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,166,1900-03-14 15:15:22,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,167,1900-03-14 15:16:13,0,1,0,0,0,0,0,0
CONFIRMED,3,0.0,31,108,1900-03-14 15:17:11,72,Valid,5,0,4,1,168,1900-03-14 15:17:11,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,169,1900-03-14 15:17:53,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,170,1900-03-14 15:18:17,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,171,1900-03-14 15:18:22,0,1,0,0,1,0,0,0
CONFIRMED,1,0.0,32,112,1900-03-14 15:18:53,73,Valid,5,1,3,1,172,1900-03-14 15:18:53,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,173,1900-03-14 15:19:08,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,174,1900-03-14 15:19:31,0,0,0,0,0,1,0,0
Null,0,,,,,,,,,,,175,1900-03-14 15:20:24,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,176,1900-03-14 15:20:25,1,0,0,0,0,0,0,0
CONFIRMED,1,0.0,33,116,1900-03-14 15:21:58,74,Valid,5,3,1,1,177,1900-03-14 15:21:58,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,178,1900-03-14 15:23:21,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,179,1900-03-14 15:25:28,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,180,1900-03-14 15:25:33,0,0,0,0,1,0,0,0
Null,0,,,,,,,,,,,181,1900-03-14 15:29:41,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,182,1900-03-14 15:38:09,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,183,1900-03-14 15:56:26,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,184,1900-03-14 15:58:44,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,185,1900-03-14 16:01:31,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,186,1900-03-14 16:02:09,1,0,0,0,0,0,0,0
CONFIRMED,3,0.0,36,124,1900-03-14 16:03:48,77,Valid,5,2,3,0,187,1900-03-14 16:03:48,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,188,1900-03-14 16:04:03,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,189,1900-03-14 16:04:19,1,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,190,1900-03-14 16:04:24,1,0,0,0,0,0,0,0
