,,,,,,,,Waldo:,Detected ppl,,EnOcean,,,,,,
1/12/23 9:23:30, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 9:24:02, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 9:24:56, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 9:25:41, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 9:26:36, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 9:27:14, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 9:29:40, preHW2,2,2,in/in,"two people walk in side by side, about 2 seconds",,in,in,1,,hit,,,,,,
1/12/23 9:30:19, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 9:50:30, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 9:53:12, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 10:01:26, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 10:03:13, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 10:10:23, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 10:12:15, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 10:12:20, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 10:14:34, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 10:26:05, preHW2,1,1,out,,,,in,1,,hit,,,,,,
1/12/23 10:27:48, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 10:30:42, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 10:31:40, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 10:31:58, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 10:33:23, preHW2,2,2,out/out,"two people walk out side by side, about 4 seconds",,out,out,1,,hit,,,,,,
1/12/23 10:33:31, preHW2,2,2,in/in,"two people walk in back to back, about 6 seconds",,in,in,1,,miss,,,,,,
1/12/23 10:34:37, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 10:35:00, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 10:37:23, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 10:37:49, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 10:40:18, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 10:45:28, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 10:47:14, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 10:49:06, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 10:51:28, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 10:52:24, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 10:53:01, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 10:54:31, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 10:55:43, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 11:34:07, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 11:37:45, preHW2,23,3,out/out/linger,"twenty-three students exit out, kind of linger, finish the exit, about 47 seconds",,,out/in/in/out/in,5,,hit,,,,,,
1/12/23 11:39:01, preHW2,23,2,in/in,"twenty-three students exit in, about 25 seconds",,,in/in/in/pbout,4,,miss,,,,,,
1/12/23 11:41:03, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 11:45:02, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 11:45:34, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 11:48:18, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 11:50:17, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 11:51:50, preHW2,2,2,in/in,"two people walk in side by side, about 2 seconds",,in,in,1,,miss,,,,,,
1/12/23 11:53:09, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 11:54:37, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 12:00:46, preHW2,2,2,out/out,two people back to back,,out,out,1,,hit,,,,,,
1/12/23 12:00:53, preHW2,1,1,out,will likely get lumped in with the last one,,,pbi,1,,miss,,,,,,
1/12/23 12:01:28, preHW2,1,3,uturn,about 7 seconds,,,pbin/in,1,,miss,,,,,,
1/12/23 12:02:44, preHW2,2,3,out/in,"two people walk in back to back, about 3 seconds then two people cross under the sensor in different directions, about 5 seconds",,,out/pbi,2,,hit,,,,,,
1/12/23 12:05:03, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 12:07:17, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 12:08:18, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
